%
% ARFF data file, generated by KNIME
%
% Date: Tue Apr 14 11:57:48 CEST 2015
% User: carlosan
%

@RELATION DataTable
@ATTRIBUTE MONTH	{October,June,April,December,November,July,January,September,May,February,August,March}
@ATTRIBUTE HOUR	{21:00,17:00,2:00,4:00,11:00,13:00,15:00,22:00,23:00,7:00,0:00,18:00,6:00,1:00,16:00,12:00,5:00,20:00,3:00,19:00,14:00,8:00,10:00,9:00}
@ATTRIBUTE pressure	INTEGER
@ATTRIBUTE three_hour_pressure_change	INTEGER
@ATTRIBUTE wind_direction	INTEGER
@ATTRIBUTE wind_speed	REAL
@ATTRIBUTE visibility	INTEGER
@ATTRIBUTE cloud_cover	INTEGER
@ATTRIBUTE height_of_base_of_cloud	INTEGER
@ATTRIBUTE dewpoint	REAL
@ATTRIBUTE drybulb	REAL
@ATTRIBUTE char_pressure_tendency_string	{lower,higher,'same or lower',steady,'same or higher'}
@ATTRIBUTE present_weather_string	{'no meteors during the past hour',rain,'showery precipitation','solid precipitation not in showers',drizzle,'showers of rain',precipitation,'fog or ice fog preceding hour',mist,snow,fog,patches,'thunderstorm preceding hour',lightning,'freezing drizzle or rain','showers of snow','thunderstorm no precipitation','rain and snow','showers of hail','haze dust or smoke','funnel clouds'}
@ATTRIBUTE past_weather1_string	{'cloud covering the sky',rain,thunderstorm,snow,showers,drizzle,'fog or ice fog or thick haze'}
@ATTRIBUTE past_weather2_string	{'cloud covering the sky',rain,drizzle,snow,'fog or ice fog or thick haze',showers,thunderstorm,'sandstorm duststorm or blowing snow'}
@ATTRIBUTE cloud_type_string	{'stratus nebulosus','cumulus and stratocumulus not cumulogenitus','low clouds invisible due to darknes fog dust or sand','stratocumulus not cumulogenitus','cumulus humilis','stratus fractus','cumulus mediocris','no low clouds','cumulonimbus capillatus','stratocumulus cumulogenitus','cumulunimbus calvus'}
@ATTRIBUTE FOG+3	{NO,YES}

@DATA
December,12:00,99300,-20,100,58.314,5000,8,250,2.85,5.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
August,6:00,100370,40,260,58.314,10000,7,3500,13.35,18.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,16:00,100360,-110,60,38.876,15000,1,3500,-0.85,8.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,13:00,100240,-40,60,116.628,20000,1,3500,14.95,26.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,7:00,100940,-20,10,38.876,500,1,30,4.15,4.85,lower,fog,'fog or ice fog or thick haze','fog or ice fog or thick haze','stratus nebulosus',NO
February,7:00,102100,-10,30,9.719,8000,1,8000,-10.55,-8.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,5:00,100930,-240,220,136.066,4000,8,150,7.65,8.45,lower,rain,rain,rain,'stratus fractus',NO
December,7:00,101390,-80,50,9.719,8000,7,1250,-4.45,-1.75,lower,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
August,12:00,99810,-70,50,38.876,15000,4,1250,13.75,27.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
March,4:00,99090,-270,210,19.438,6000,8,150,10.25,10.85,lower,rain,rain,rain,'stratocumulus not cumulogenitus',NO
February,14:00,100920,-270,80,58.314,20000,1,1250,-13.15,-1.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
August,16:00,99720,70,260,136.066,15000,5,450,15.05,18.55,higher,precipitation,'cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
October,12:00,99940,20,210,58.314,10000,7,450,14.55,16.15,higher,rain,rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
January,23:00,100590,290,320,38.876,20000,7,450,2.95,6.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,13:00,101290,-120,170,9.719,9000,8,1750,9.25,15.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,7:00,101820,200,250,77.752,12000,6,1250,6.55,8.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,21:00,100610,210,360,136.066,15000,8,450,8.15,9.25,higher,'no meteors during the past hour',rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
February,22:00,99860,140,290,155.504,15000,4,1250,-1.15,4.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
May,17:00,100390,-150,120,77.752,60000,5,1750,9.45,26.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
November,22:00,99790,70,210,58.314,20000,8,450,11.05,13.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
March,17:00,99750,20,290,116.628,16000,6,1250,3.25,10.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,12:00,101060,-50,50,77.752,18000,1,1750,13.75,27.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
April,22:00,100440,30,150,58.314,20000,1,1750,6.55,8.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,22:00,99930,30,230,155.504,8000,8,150,12.45,13.05,higher,rain,rain,rain,'stratocumulus not cumulogenitus',NO
July,20:00,100300,100,280,58.314,25000,3,1750,8.15,15.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus cumulogenitus',NO
July,9:00,101470,-30,60,9.719,25000,0,?,13.45,22.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
November,20:00,99700,20,210,9.719,12000,7,450,7.85,9.95,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,16:00,100620,-60,40,77.752,25000,7,8000,10.15,20.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,0:00,102170,30,30,9.719,20000,0,?,-5.65,-2.65,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
February,11:00,100490,20,210,116.628,8000,7,3500,2.45,5.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
May,0:00,100620,20,350,116.628,20000,6,1250,2.65,6.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,13:00,100480,70,280,77.752,30000,5,1250,10.35,22.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
January,20:00,100360,90,250,77.752,12000,7,450,3.25,5.95,higher,'showers of rain','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
November,3:00,102350,10,100,58.314,7000,0,?,-6.25,-3.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
April,0:00,101970,-10,10,77.752,15000,4,8000,3.85,10.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,13:00,101300,-130,70,77.752,15000,6,8000,5.95,18.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,16:00,100210,-100,40,38.876,30000,1,2250,10.55,30.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
June,2:00,99900,140,240,77.752,20000,1,3500,8.25,9.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,0:00,100600,-20,30,19.438,20000,1,8000,8.95,11.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,0:00,99900,-110,200,9.719,20000,7,8000,10.75,16.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,9:00,99300,-220,220,233.256,25000,8,450,6.95,10.05,lower,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
July,16:00,100560,-150,110,77.752,50000,2,1750,5.25,21.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
August,1:00,99680,-180,230,9.719,20000,7,3500,13.55,19.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,21:00,100660,80,30,58.314,30000,4,1750,13.15,21.25,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
March,6:00,98970,70,40,77.752,1500,8,80,-0.45,0.15,higher,'solid precipitation not in showers',snow,'cloud covering the sky','stratus fractus',NO
December,18:00,99310,40,250,116.628,6000,7,150,7.15,8.05,higher,'no meteors during the past hour',rain,drizzle,'stratus fractus',NO
March,22:00,100850,-10,60,58.314,15000,0,?,-0.75,6.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
October,19:00,100260,270,310,58.314,25000,0,?,5.15,8.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
August,7:00,100020,20,160,9.719,25000,6,800,11.85,16.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
January,8:00,100510,260,330,77.752,7000,6,250,1.85,3.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,19:00,100840,100,210,58.314,20000,1,1250,4.75,7.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,22:00,100270,-130,190,9.719,7000,5,150,4.45,5.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,8:00,100120,-50,160,58.314,10000,7,3500,2.05,2.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,5:00,100100,-50,180,77.752,20000,3,3500,17.75,23.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,10:00,100250,-90,120,9.719,30000,7,8000,16.55,30.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,13:00,99280,-230,30,9.719,2500,8,450,-8.25,-5.65,lower,mist,'cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,11:00,101550,40,220,136.066,15000,5,3500,8.45,14.95,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,22:00,101280,60,50,38.876,20000,3,1750,9.25,14.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,2:00,101010,0,330,38.876,12000,1,800,0.25,1.75,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
November,14:00,100430,-70,180,38.876,8000,8,250,8.75,10.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,7:00,100300,-10,340,9.719,8000,8,150,13.35,14.15,lower,drizzle,drizzle,'cloud covering the sky','stratus fractus',NO
August,0:00,100580,110,320,77.752,30000,5,1250,9.55,17.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,13:00,100010,-130,180,58.314,20000,4,3500,17.45,30.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
May,23:00,100070,100,310,38.876,5000,5,1750,10.35,11.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,13:00,100350,60,280,19.438,30000,6,1250,5.75,17.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus cumulogenitus',NO
March,0:00,99280,320,290,19.438,5000,6,150,1.85,3.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,4:00,99700,-220,210,174.942,10000,7,450,8.15,10.55,lower,rain,rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
January,0:00,99820,-20,50,9.719,10000,0,?,-11.35,-8.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
March,16:00,101000,40,20,136.066,25000,6,1250,-4.45,3.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,13:00,101450,-70,30,38.876,7000,3,8000,-0.35,3.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,12:00,101280,30,260,9.719,9000,8,250,9.75,11.45,higher,'no meteors during the past hour',rain,drizzle,'stratocumulus not cumulogenitus',NO
December,8:00,99330,190,250,116.628,15000,7,3500,5.35,8.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,22:00,100710,70,60,77.752,20000,3,8000,14.75,19.95,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,19:00,100180,0,30,77.752,15000,6,1250,12.55,17.65,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulonimbus capillatus',NO
June,20:00,101120,80,20,58.314,20000,3,8000,13.15,19.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,19:00,101440,160,270,116.628,25000,7,800,4.85,9.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
October,18:00,99530,-100,270,19.438,1200,8,450,13.45,15.45,'same or lower','showery precipitation',showers,rain,'cumulus mediocris',NO
May,14:00,100430,10,300,116.628,18000,4,1250,12.05,20.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
May,3:00,100180,-90,20,38.876,15000,4,1250,10.75,12.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,16:00,100800,-140,230,58.314,25000,5,1250,9.95,22.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
July,13:00,100220,-10,220,58.314,20000,3,1250,16.55,27.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
March,8:00,101290,10,150,19.438,12000,0,?,2.75,6.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
May,1:00,99910,-160,20,116.628,20000,7,8000,7.15,14.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,23:00,100490,-40,190,38.876,18000,1,1750,16.15,21.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,7:00,101210,150,120,77.752,5000,6,1750,6.35,7.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
April,4:00,98650,100,170,77.752,15000,3,1250,3.25,3.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,12:00,100110,-20,150,58.314,30000,7,1750,6.65,18.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
October,2:00,100880,20,250,58.314,20000,0,?,9.55,16.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
February,18:00,98190,-130,110,38.876,20000,7,1750,2.45,6.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,22:00,100760,-20,150,58.314,15000,3,3500,8.55,12.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,11:00,101560,170,290,116.628,20000,5,450,7.75,10.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,7:00,100420,40,60,9.719,7000,6,8000,9.95,11.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,10:00,101180,50,130,77.752,10000,2,8000,1.85,9.15,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,20:00,101390,-30,240,9.719,15000,5,1250,3.75,8.25,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,7:00,100820,160,330,77.752,11000,4,8000,8.95,11.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
